Artikel-ID, ,Produktname-im-Laden,Hauptkategorie,Unterkategorien,Produktname-beim-Lieferanten,Lieferant,Produzent,Produzenten Webseite,Volumen,Hauptrohstoff Herkunft,Herkunftsort,Zertifizierung,Artikel Nr.,Artikel-Nr Neu,Mehrwertsteuer,EP netto,zusätzliche Tarife,VP netto,102.50%,Ladenpreis neu,Ladenpreis alt,Differenz,Verfallsdatum,Letzter Export in den Webshop,Webshop Produktname,Im Webshop anzeigen,quartierdepot-bild-0,Bilder,Kurzbeschreibung,Coop,Differenz,%,Farmy,Differenz,%,,KW51,KW2,KW3,KW4,KW5,KW6,KW7,KW8,KW9,KW10,KW11,KW12,KW13,KW14,KW15,KW16,KW17,KW 18,KW19,KW20,KW21,KW22,KW23,KW23-Rea,KW24,KW25,KW26,KW 27,KW28,KW29,KW30,,Gesamt Bestellmenge,Lager vom Web,Lager Neuer Import,Schwellenwert,Manage stock?,Items sold 4.5.,Stock effektiv,Stock theor,Diff eff vs theo,Summe
E13,,Joghurt Nature laktosefrei,01-Vorderer Teil,Milchprodukte,Joghurt Nature laktosefrei,Biopartner,Molkerei Biedermann,www.biomolkerei.ch/de/,,Schweiz,"Bischofszell, St. Gallen",EU-Bio,5524,Biopartner 5524,Mwst. reduzierter Satz,1.44,,1.58,1.62,1.62,1.85,-0.23,,19.6.2053,E13 Joghurt Nature laktosefrei,visible,quartier-produkt-34,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-34.png,"Joghurt Nature laktosefrei wird von Molkerei Biedermann produziert und von Biopartner geliefert. Es kommt aus Bischofszell, St. Gallen und trägt EU-Bio Zertifizierung",,,,,,,,,2,2,2,2,3,3,,3,3,,3,,2,2,,6,,3,,,,,,,,3,12,3,,3,,57,,3,,no,14,1,43,-42,-68.19
E14,,Butter,01-Vorderer Teil,Milchprodukte,Butter,Biopartner,Molkerei Biedermann,www.biomolkerei.ch/de/,200g,Schweiz,"Bischofszell, St. Gallen",CH-Bio,2246,Biopartner 2246,Mwst. reduzierter Satz,3.91,,4.30,4.41,4.41,5.05,-0.64,,19.6.2054,E14 Butter,visible,quartier-produkt-35,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-35.png,"Butter wird von Molkerei Biedermann produziert und von Biopartner geliefert. Es kommt aus Bischofszell, St. Gallen und trägt CH-Bio Zertifizierung",,,,,,,,,15,10,15,,10,4,10,15,20,,30,,20,15,15,30,,15,20,15,20,15,,20,15,14,12,15,20,12,,402,,15,,no,290,3,112,-109,-480.53
E15,,Kokos Joghurt,01-Vorderer Teil,Milchprodukte,Vegan Nature Alternative zu Jogurt,Biopartner,Molkerei Biedermann,www.biomolkerei.ch/de/,375ml,Schweiz,"Bischofszell, St. Gallen",CH-Bio,1824,Biopartner 1824,Mwst. reduzierter Satz,2.05,,2.26,2.31,2.31,5.05,-2.74,,19.6.2055,E15 Kokos Joghurt,visible,quartier-produkt-36,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-36.png,"Kokos Joghurt wird von Molkerei Biedermann produziert und von Biopartner geliefert. Es kommt aus Bischofszell, St. Gallen und trägt CH-Bio Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,3,,,3,3,4,,3,,6,3,4,4,4,3,6,,46,-1,3,2,yes,8,0,38,-38,-87.83
E16,,freies Joghurt klein,01-Vorderer Teil,Milchprodukte,freies Joghurt klein,Biopartner,Sennerei Bachtel,www.sennerei-bachtel.ch/,180g,Schweiz,"Wernetshausen, Zürich",Demeter,0019XX,Biopartner 0019XX,Mwst. reduzierter Satz,1.13,,1.24,1.27,1.27,,,,,E16 freies Joghurt klein,visible,quartier-produkt-36,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-36.png,"freies Joghurt klein wird von Sennerei Bachtel produziert und von Biopartner geliefert. Es kommt aus Wernetshausen, Zürich und trägt Demeter Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,
E20,,Vollrahm,01-Vorderer Teil,Milchprodukte,Rahm,Biopartner,Sennerei Bachtel,www.sennerei-bachtel.ch/,,Schweiz,"Wernetshausen, Zürich",Demeter,1830,Biopartner 1830,Mwst. reduzierter Satz,3.00,,3.30,3.38,3.38,3.50,-0.12,,19.6.2056,E20 Vollrahm,visible,quartier-produkt-37,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-37.png,"Vollrahm wird von Sennerei Bachtel produziert und von Biopartner geliefert. Es kommt aus Wernetshausen, Zürich und trägt Demeter Zertifizierung",,,,,,,,,5,3,,5,,,,4,4,,,4,6,9,,12,,6,8,,,6,,4,4,,,4,,3,,87,-1,3,2,yes,41,6,46,-40,-135.30
E21,,Sauer Halbrahm,01-Vorderer Teil,Milchprodukte,Sauer Halbrahm,Biopartner,Biomilk,www.biomilk.ch/,,Schweiz,"Worb, Bern",Knospe,2284,Biopartner 2284,Mwst. reduzierter Satz,1.36,,1.50,1.53,1.53,1.65,-0.12,,19.6.2057,E21 Sauer Halbrahm,visible,quartier-produkt-38,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-38.png,"Sauer Halbrahm wird von Biomilk produziert und von Biopartner geliefert. Es kommt aus Worb, Bern und trägt Knospe Zertifizierung",,,,,,,,,5,,,5,6,,,3,,,6,,6,6,,,,3,,6,,,,,3,6,,2,,3,,60,3,5,2,yes,34,0,26,-26,-39.87
E22,,Crème Fraîche,01-Vorderer Teil,Milchprodukte,Crème Fraîche,Biopartner,Biomilk,www.biomilk.ch/,,Schweiz,"Worb, Bern",Knospe,2232,Biopartner 2232,Mwst. reduzierter Satz,2.00,,2.20,2.26,2.26,2.30,-0.04,,19.6.2058,E22 Crème Fraîche,visible,quartier-produkt-39,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-39.png,"Crème Fraîche wird von Biomilk produziert und von Biopartner geliefert. Es kommt aus Worb, Bern und trägt Knospe Zertifizierung",,,,,,,,,,,,5,6,,,,6,,,12,6,6,,,6,3,9,,,6,,3,3,,,,,3,,74,1,1,2,yes,56,8,18,-10,-22.55
E23,,Magerquark,01-Vorderer Teil,Milchprodukte,Magerquark,Biopartner,Biomilk,www.biomilk.ch/,,Schweiz,"Worb, Bern",Knospe,2234,Biopartner 2234,Mwst. reduzierter Satz,1.75,,1.93,1.97,1.97,2.80,-0.83,25/01/2020,19.6.2059,E23 Magerquark,visible,quartier-produkt-40,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-40.png,"Magerquark wird von Biomilk produziert und von Biopartner geliefert. Es kommt aus Worb, Bern und trägt Knospe Zertifizierung",,,,,,,,,5,,,,,,,,,,,,4,4,4,,4,,4,4,,2,,,,2,,2,,2,,37,0,2,2,yes,21,3,16,-13,-25.65
E24,,Soya Cuisine Rahm,01-Vorderer Teil,Milchprodukte,Soya Cuisine Rahm,Biopartner,Provamel,www.provamel.com/de,,Europa,Belgien,EU-Bio,408040,Biopartner 408040,Mwst. reduzierter Satz,1.35,,1.49,1.52,1.52,1.50,0.02,,19.6.2060,E24 Soya Cuisine Rahm,visible,quartier-produkt-41,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-41.png,Soya Cuisine Rahm wird von Provamel produziert und von Biopartner geliefert. Es kommt aus Belgien und trägt EU-Bio Zertifizierung,,,,,,,,,3,3,,6,,,,,,,,15,,,,30,,,,,,,,15,,,15,,,,,87,18,18,5,yes,43,12,44,-32,-48.71
E29,,Hüttenkäse,01-Vorderer Teil,Milchprodukte,Hüttenkäse,Biopartner,Molkerei Biedermann,www.biomolkerei.ch/de/,200g,Schweiz,"Bischofszell, St. Gallen",Knospe,2162,Biopartner 2162,Mwst. reduzierter Satz,2.43,,2.67,2.74,2.74,,,,19.6.2061,E29 Hüttenkäse,visible,quartier-produkt-42,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-42.png,"Hüttenkäse wird von Molkerei Biedermann produziert und von Biopartner geliefert. Es kommt aus Bischofszell, St. Gallen und trägt Knospe Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,10,,6,3,9,,,3,,,,,,3,3,,,37,,3,,no,,,,,
E30,,Frischkäse California Doppel,01-Vorderer Teil,Milchprodukte,Frischkäse California Doppel,Biopartner,Oema,www.oema.de/,,Deutschland,"Allgäu, Deutschland",Knospe,2677,Biopartner 2677,Mwst. reduzierter Satz,2.05,,2.26,2.31,2.31,2.35,-0.04,21/02/2020,19.6.2062,E30 Frischkäse California Doppel,visible,quartier-produkt-43,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-43.png,"Frischkäse California Doppel wird von Oema produziert und von Biopartner geliefert. Es kommt aus Allgäu, Deutschland und trägt Knospe Zertifizierung",,,,,,,,,5,,,,,,,,6,,6,7,7,7,,,7,,,,,6,,,,,7,,,6,,64,0,0,2,yes,43,4,21,-17,-39.29
E31,,Tomme,01-Vorderer Teil,Milchprodukte,Tomme,Biopartner,L'Aubier,www.aubier.ch/de/home.html,,Schweiz,"Montezillon, Neuenburg",Demeter,2466,Biopartner 2466,Mwst. reduzierter Satz,0.02500,,0.02750,0.02819,0.028188,0.04,-0.01,27/01/2020,19.6.2063,E31 Tomme,visible,quartier-produkt-44,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-44.png,"Tomme wird von L'Aubier produziert und von Biopartner geliefert. Es kommt aus Montezillon, Neuenburg und trägt Demeter Zertifizierung",,,,,,,,,,,,,,,,638,,1686,1276,,354,17,,,346,,,1126,,,,1278,,,,,,,,6721,,0,,no,2480,,4241,-4241,-119.54
E32,,Weichkäse Nr.2,01-Vorderer Teil,Milchprodukte,Weichkäse Nr.2,unterschiedlich,unterschiedlich,,,unterschiedlich,unterschiedlich,unterschiedlich,,unterschiedlich ,Mwst. reduzierter Satz,0.01720,,0.01892,0.01939,0.02,,,,19.6.2064,E32 Weichkäse Nr.2,visible,quartier-produkt-45,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-45.png,Weichkäse Nr.2 wird von unterschiedlich produziert und von unterschiedlich geliefert. Es kommt aus unterschiedlich und trägt unterschiedlich Zertifizierung,,,,,,,,,1562,,1414,1110,,,,,,,,,,,,,,,,,,,,6,,2218,,,,,,6310,,0,,no,8551,,,,
E33,,Greyezer AOP,01-Vorderer Teil,Milchprodukte,Greyezer mild AOP,Biopartner,Intercheese,www.intercheese.ch/de/produkte/schweiz/bio-kaese,,Schweiz,"Beromünster, Luzern",CH-Bio,2973,Biopartner 2973,Mwst. reduzierter Satz,0.02547,,0.02802,0.02872,0.028717,0.030,-0.001,27/01/2020,19.6.2065,E33 Greyezer AOP,visible,quartier-produkt-46,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-46.png,"Greyezer AOP wird von Intercheese produziert und von Biopartner geliefert. Es kommt aus Beromünster, Luzern und trägt CH-Bio Zertifizierung",,,,,,,,,1194,1024,1042,564,1017,,,987,825,,1742,,3409,3237,,,2280,1226,,,,1580,,3992,,,,0.593,,0.605,,24120.198,-5148,-5147.407,500,yes,17853,-268,6267.198,-6535.198,-187.67
E34,,Parmesan,01-Vorderer Teil,Milchprodukte,La Villa Bio Parmigiano Reggiano,Biopartner,La Villa,www.lavillabio.it/parmigiano-reggiano/,,Italien,Italien,EU-Bio,2606,Biopartner 2606,Mwst. reduzierter Satz,0.02800,,0.03080,0.03157,0.031570,0.030,0.002,24/02/2020,19.6.2066,E34 Parmesan,visible,quartier-produkt-47,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-47.png,Parmesan wird von La Villa produziert und von Biopartner geliefert. Es kommt aus Italien und trägt EU-Bio Zertifizierung,,,,,,,,,,,1038,1018,,,,1274,1116,,2107,,6186,,,,,,5137,,,,,3000,820,,1000,1.354,3308,0.93,,26006.284,-2854,-2852.646,500,yes,14169,-1540,11837.284,-13377.284,-422.32
E35,,Hartkäse Nr. 3,01-Vorderer Teil,Milchprodukte,,unterschiedlich,unterschiedlich,,,unterschiedlich,unterschiedlich,Bio,,unterschiedlich ,Mwst. reduzierter Satz,0.01994,,0.02193,0.02248,0.022482,0.030,-0.01,,19.6.2067,E35 Hartkäse Nr. 3,visible,quartier-produkt-48,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-48.png,Hartkäse Nr. 3 wird von unterschiedlich produziert und von unterschiedlich geliefert. Es kommt aus unterschiedlich und trägt Bio Zertifizierung,,,,,,,,,1192,,1474,,1718,,,,,,,,,,,3184,,,,,,,,,,,,,,,,7568,-117,-117,500,yes,5180,283,2388,-2105,-47.33
E36,,Reibkäse,01-Vorderer Teil,Milchprodukte,Züger Bio Reibkäse,Biopartner,Züger,www.frischkaese.ch/,150g,Schweiz,Oberbüren,CH-Bio,1857,Biopartner 1857,Mwst. reduzierter Satz,2.30,,2.53,2.59,2.59,,2.59,,19.6.2068,E36 Reibkäse,visible,quartier-produkt-49,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-49.png,Reibkäse wird von Züger produziert und von Biopartner geliefert. Es kommt aus Oberbüren und trägt CH-Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,,5,,5,,,5,,3,,,,5,,,,3,,5,,31,2,5,3,yes,12,4,19,-15,-38.90
E37,,Doppel-Mozzarella,01-Vorderer Teil,Milchprodukte,Mozzarella Kugel,Biopartner,Züger,www.frischkaese.ch/,100g,Schweiz,Oberbüren,CH-Bio,2981,Biopartner 2981,Mwst. reduzierter Satz,2.75,,3.03,3.10,3.10,1.80,1.30,,19.6.2069,E37 Doppel-Mozzarella,visible,quartier-produkt-50,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-50.png,Doppel-Mozzarella wird von Züger produziert und von Biopartner geliefert. Es kommt aus Oberbüren und trägt CH-Bio Zertifizierung,2.20,0.90,141%,,,,,,,,,,,,10,,9,,20,,15,,20,12,20,,12,4,,6,,12,10,,,6,10,6,,172,-4,2,5,yes,122,7,50,-43,-133.33
E38,,Hefe frisch,01-Vorderer Teil,Milchprodukte,Hefe frisch,Biopartner,Hefe Schweiz (TG),www.hefe.ch/,42g,,"Stettfurt, Thurgau",Knospe,76238,Biopartner 76238,Mwst. reduzierter Satz,0.69,,0.76,0.78,0.78,0.90,-0.12,8.2.2020,19.6.2070,E38 Hefe frisch,visible,quartier-produkt-51,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-51.png,"Hefe frisch wird von Hefe Schweiz (TG) produziert und von Biopartner geliefert. Es kommt aus Stettfurt, Thurgau und trägt Knospe Zertifizierung",,,,,,,,,,,24,,,,,,,,,,,12,,,,,,12,,,,,12,,,,,12,,72,7,7,5,yes,36,0,36,-36,-28.01
E39,,Seidentofu,01-Vorderer Teil,Milchprodukte,Seidentofu,Biopartner,Taifun,www.taifun-tofu.de/,400g,,"Freiburg, Deutschland",Demeter,2770,Biopartner 2770,Mwst. reduzierter Satz,3.70,,4.07,4.17,4.17,4.30,-0.13,04.03.2020,19.6.2071,E39 Seidentofu,visible,quartier-produkt-52,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-52.png,"Seidentofu wird von Taifun produziert und von Biopartner geliefert. Es kommt aus Freiburg, Deutschland und trägt Demeter Zertifizierung",,,,,,,,,,,10,,,,,,,3,5,,5,,,,,5,,,,,,,,,,5,,,,33,0,5,2,yes,23,2,10,-8,-33.37
E40,,Blätterteig Dinkel ausgewallt,01-Vorderer Teil,Teig,,Biopartner,,,300g,Schweiz,Schweiz,CH-Knospe,2356,Biopartner 2356,Mwst. reduzierter Satz,4.48,,4.93,5.05,5.05,,,,19.6.2072,E40 Blätterteig Dinkel ausgewallt,visible,quartier-produkt-53,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-53.png,Blätterteig Dinkel ausgewallt wird von  produziert und von Biopartner geliefert. Es kommt aus Schweiz und trägt CH-Knospe Zertifizierung,,,,,,,,,,,,,,,,,,,6,,6,10,,12,,6,8,4,,4,,,4,6,,2,,4,,72,0,2,3,yes,53,4,19,-15,-75.77
E41,,Blätterteig Weizen ausgewallt,01-Vorderer Teil,Teig,,Biopartner,,,300g,Schweiz,Schweiz,CH-Knospe,6101,Biopartner 6101,Mwst. reduzierter Satz,4.30,,4.73,4.85,4.85,,,,19.6.2073,E41 Blätterteig Weizen ausgewallt,visible,quartier-produkt-54,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-54.png,Blätterteig Weizen ausgewallt wird von  produziert und von Biopartner geliefert. Es kommt aus Schweiz und trägt CH-Knospe Zertifizierung,,,,,,,,,,,,,,,,,,,6,,6,10,,12,,4,8,,,4,,,4,6,,,,4,,64,1,1,2,yes,31,7,33,-26,-126.05
E42,,Tofu Nature,01-Vorderer Teil,Tofu,Tofu,Biopartner,Noppa,,200g,Schweiz,Schweiz,CH-Knospe,003181,Biopartner 003181,Mwst. reduzierter Satz,2.63,,2.89,2.97,2.97,,,,19.6.2074,E42 Tofu Nature,visible,quartier-produkt-55,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-55.png,Tofu Nature wird von Noppa produziert und von Biopartner geliefert. Es kommt aus Schweiz und trägt CH-Knospe Zertifizierung,,,,,,,,,,,,,,,,,,,9,3,6,9,5,12,,,12,,,,,7,,,6,3,,,,72,4,7,2,yes,30,15,42,-27,-80.06
E43,,Tofu-Gemüsemedaillons - delist,01-Vorderer Teil,Tofu,Tofu-Gemüsemedaillons,Biopartner,Noppa,,200g,Schweiz,Schweiz,CH-Bio,003194,Biopartner 003194,Mwst. reduzierter Satz,4.55,,5.01,5.13,5.13,,,,19.6.2075,E43 Tofu-Gemüsemedaillons - delist,visible,quartier-produkt-56,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-56.png,Tofu-Gemüsemedaillons - delist wird von Noppa produziert und von Biopartner geliefert. Es kommt aus Schweiz und trägt CH-Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,0,0,2,yes,6,0,0,0,0.00
E44,,Hefe frisch 500g,01-Vorderer Teil,Milchprodukte,Hefe frisch,Biopartner,Hefe Schweiz (TG),www.hefe.ch/,500g,Schweiz,"Stettfurt, Thurgau",Knospe,,Biopartner ,Mwst. reduzierter Satz,4.75,,5.23,5.36,5.36,,5.36,,19.6.2076,E44 Hefe frisch 500g,visible,quartier-produkt-57,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-57.png,"Hefe frisch 500g wird von Hefe Schweiz (TG) produziert und von Biopartner geliefert. Es kommt aus Stettfurt, Thurgau und trägt Knospe Zertifizierung",,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,4,,0,,no,1,,3,-3,-16.07
E45,,Bratkäse Provençal,01-Vorderer Teil,Milchprodukte,Bratkäse Provençal,Biopartner,Züger,www.frischkaese.ch/,2 x 80g,Schweiz,Oberbüren,CH-Bio,3324,Biopartner 3324,Mwst. reduzierter Satz,2.33,,2.56,2.63,2.63,,2.63,,19.6.2077,E45 Bratkäse Provençal,visible,quartier-produkt-58,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-58.png,Bratkäse Provençal wird von Züger produziert und von Biopartner geliefert. Es kommt aus Oberbüren und trägt CH-Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,8,,8,,,,,,,,4,,,,,4,,24,1,1,2,yes,11,4,13,-9,-23.64
E46,,Indian Paneer Nature,01-Vorderer Teil,Milchprodukte,Indian Paneer Nature,Biopartner,Züger,www.frischkaese.ch/,200g,Schweiz,Oberbüren,CH-Bio,3358,Biopartner 3358,Mwst. reduzierter Satz,2.40,,2.64,2.71,2.71,,2.71,,19.6.2078,E46 Indian Paneer Nature,visible,quartier-produkt-59,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-59.png,Indian Paneer Nature wird von Züger produziert und von Biopartner geliefert. Es kommt aus Oberbüren und trägt CH-Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,8,,,6,,,,,,,4,4,,,,4,,26,3,3,2,yes,9,6,17,-11,-29.77
E47,,Alpkäse Haslital rezent,01-Vorderer Teil,Milchprodukte,Alpkäse Haslital rezent,Antoine,Stephan Bohnenblust,http://www.alporama.ch/gv2/get/get_SenntenDetail.asp?idSennten=496,,Schweiz,3806 Bönigen,keine,,Antoine ,Mwst. reduzierter Satz,0.0235,,0.0258,0.0265,0.0265,,,,19.6.2079,E47 Alpkäse Haslital rezent,visible,quartier-produkt-60,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-60.png,Alpkäse Haslital rezent wird von Stephan Bohnenblust produziert und von Antoine geliefert. Es kommt aus 3806 Bönigen und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,,4958,,,,,,,,,,,,,,,4958,50,50,500,yes,2752,2206,,,
E48,,Alpkäse Haslital mild,01-Vorderer Teil,Milchprodukte,Alpkäse Haslital mild,Antoine,Stephan Bohnenblust,http://www.alporama.ch/gv2/get/get_SenntenDetail.asp?idSennten=496,,Schweiz,3806 Bönigen,keine,,Antoine ,Mwst. reduzierter Satz,0.020,,0.0220,0.0226,0.0226,,,,19.6.2080,E48 Alpkäse Haslital mild,visible,quartier-produkt-61,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-61.png,Alpkäse Haslital mild wird von Stephan Bohnenblust produziert und von Antoine geliefert. Es kommt aus 3806 Bönigen und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,,6345,,,,,,,,,,,,,,,6345,394,394,500,yes,3415,2930,,,
E49,N,Feta,01-Vorderer Teil,Milchprodukte,Feta ,Biopartner,bio-verde,,180g,Deutschland,,EU-Bio,2640,Biopartner 2640,Mwst. reduzierter Satz,3.28,,3.61,3.70,3.70,,3.70,,19.6.2081,E49 Feta,visible,quartier-produkt-62,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-62.png,Feta wird von bio-verde produziert und von Biopartner geliefert. Es kommt aus  und trägt EU-Bio Zertifizierung,2.20,1.50,168%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,6,6,,24,1,1,5,yes,122,7,-98,105,388.31
F10,,Planted.chicken mariniert,01-Vorderer Teil,Tiefkühler,planted.chicken mit HILTL Güggeli Marinade,planted,planted,www.planted.ch/,400g,Schweiz,Zürich ETH-Zentrum,keine,,planted ,Mwst. reduzierter Satz,11.00,,12.10,12.40,12.40,,,,19.6.2082,F10 Planted.chicken mariniert,visible,quartier-produkt-63,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-63.png,Planted.chicken mariniert wird von planted produziert und von planted geliefert. Es kommt aus Zürich ETH-Zentrum und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,10,15,,24,,,,,,,,,,,,,10,,,59,-2,-2,5,yes,27,21,32,-11,-136.43
F11,,Planted.chicken ,01-Vorderer Teil,Tiefkühler,planted.chicken,planted,planted,www.planted.ch/,400g,Schweiz,Zürich ETH-Zentrum,keine,,planted ,Mwst. reduzierter Satz,11.00,,12.10,12.40,12.40,,,,19.6.2083,F11 Planted.chicken ,visible,quartier-produkt-64,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-64.png,Planted.chicken  wird von planted produziert und von planted geliefert. Es kommt aus Zürich ETH-Zentrum und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,10,,,25,,,,,,,,,,,,,10,,,45,0,0,5,yes,15,20,30,-10,-124.03
F20,,TK Erbsen,01-Vorderer Teil,Tiefkühler,TK Erbsen sehr fein,Biopartner,,,450g,Deutschland,Deutschland,Demeter,73166,Biopartner 73166,Mwst. reduzierter Satz,4.44,,4.88,5.01,5.01,,,,19.6.2084,F20 TK Erbsen,visible,quartier-produkt-65,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-65.png,TK Erbsen wird von  produziert und von Biopartner geliefert. Es kommt aus Deutschland und trägt Demeter Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,8,,,,,24,8,8,5,yes,8,8,16,-8,-40.05
F21,,TK Spinat,01-Vorderer Teil,Tiefkühler,TK Spinat Blatt,Biopartner,,,450g,Deutschland,Deutschland,Demeter,73047,Biopartner 73047,Mwst. reduzierter Satz,3.81,,4.19,4.30,4.30,,,,19.6.2085,F21 TK Spinat,visible,quartier-produkt-66,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-66.png,TK Spinat wird von  produziert und von Biopartner geliefert. Es kommt aus Deutschland und trägt Demeter Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,4,,,,,20,5,5,5,yes,6,9,14,-5,-21.48
F31,,Ravioli 1,01-Vorderer Teil,Tiefkühler,Ravioli,Pastasy,Pastasy,http://www.pastasy.ch/,400g,Schweiz,Zürich Witikon,keine,,Pastasy ,Mwst. reduzierter Satz,8.60,,9.46,9.70,9.70,,,,19.6.2086,F31 Ravioli 1,visible,quartier-produkt-67,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-67.png,Ravioli 1 wird von Pastasy produziert und von Pastasy geliefert. Es kommt aus Zürich Witikon und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,,10,,,,,,,20,8,8,2,yes,7,0,13,-13,-126.05
F32,,Ravioli 2,01-Vorderer Teil,Tiefkühler,Ravioli,Pastasy,Pastasy,http://www.pastasy.ch/,400g,Schweiz,Zürich Witikon,keine,,Pastasy ,Mwst. reduzierter Satz,9.52,,10.47,10.73,10.73,,,,19.6.2087,F32 Ravioli 2,visible,quartier-produkt-68,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-68.png,Ravioli 2 wird von Pastasy produziert und von Pastasy geliefert. Es kommt aus Zürich Witikon und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,,,,10,,,,,,,30,12,12,2,yes,5,3,25,-22,-236.14
F33,N ,Wiedikerli / Zwickerli,01-Vorderer Teil,Tiefkühler,Wiediker,Metzgerei Keller,Metzgerei Keller,metzgerei-keller.ch,4x80g,Schweiz,Zürich,keine,,Metzgerei Keller ,Mwst. reduzierter Satz,9.10,,10.01,10.26,10.26,,,,19.6.2088,F33 Wiedikerli / Zwickerli,visible,quartier-produkt-69,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-69.png,Wiedikerli / Zwickerli wird von Metzgerei Keller produziert und von Metzgerei Keller geliefert. Es kommt aus Zürich und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,35,,,,,,30,,,,,91,62,62,5,yes,14,12,77,-65,-666.92
F40,,Gasparini Lutscher,01-Vorderer Teil,Tiefkühler,Gasparini Lutscher,Biopartner,Gasparini,https://www.gasparini.ch/,80g,Schweiz,Basel Land,CH-Bio,73646,Biopartner 73646,Mwst. reduzierter Satz,2.05,,2.26,2.31,2.31,,,,19.6.2089,F40 Gasparini Lutscher,visible,quartier-produkt-70,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-70.png,Gasparini Lutscher wird von Gasparini produziert und von Biopartner geliefert. Es kommt aus Basel Land und trägt CH-Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,50,,100,,50,,,,,,,,50,,,,,250,72,72,10,yes,102,85,148,-63,-145.62
