Artikel-ID, ,Produktname-im-Laden,Hauptkategorie,Unterkategorien,Produktname-beim-Lieferanten,Lieferant,Produzent,Produzenten Webseite,Volumen,Hauptrohstoff Herkunft,Herkunftsort,Zertifizierung,Artikel Nr.,Artikel-Nr Neu,Mehrwertsteuer,EP netto,zusätzliche Tarife,VP netto,102.50%,Ladenpreis neu,Ladenpreis alt,Differenz,Verfallsdatum,Letzter Export in den Webshop,Webshop Produktname,Im Webshop anzeigen,quartierdepot-bild-0,Bilder,Kurzbeschreibung,Coop,Differenz,%,Farmy,Differenz,%,,KW51,KW2,KW3,KW4,KW5,KW6,KW7,KW8,KW9,KW10,KW11,KW12,KW13,KW14,KW15,KW16,KW17,KW 18,KW19,KW20,KW21,KW22,KW23,KW23-Rea,KW24,KW25,KW26,KW 27,KW28,KW29,KW30,,Gesamt Bestellmenge,Lager vom Web,Lager Neuer Import,Schwellenwert,Manage stock?,Items sold 4.5.,Stock effektiv,Stock theor,Diff eff vs theo,Summe
C10,,Eier,01-Vorderer Teil,Eier,Eier,Biopartner,Hosberg,,,Schweiz,der Schweiz,Knospe,4001,Biopartner 4001,Mwst. reduzierter Satz,5.07,,5.58,5.72,5.72,6.20,-0.48,,19.6.2029,C10 Eier,visible,quartier-produkt-10,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-10.png,Eier wird von Hosberg produziert und von Biopartner geliefert. Es kommt aus der Schweiz und trägt Knospe Zertifizierung,4.95,0.77,115%,,,,,,19,16,13,11,20,5,12,15,24,14,16,19,26,18,21,20,23,29,25,14,,,18,5,,15,15,25,,15,,453,,25,,no,314,15,139,-124,-708.84
D10,,Sonnwendlig Alkoholfrei,01-Vorderer Teil,Getränke,Appenzeller,Intercomestibles,Brauerei Locher,www.appenzellerbier.ch/de/home.html,33 cl,Schweiz,Appenzell (AI),keine,,Intercomestibles ,Mwst. reduzierter Satz,1.19,,1.31,1.84,1.84,1.90,-0.06,,19.6.2030,D10 Sonnwendlig Alkoholfrei,visible,quartier-produkt-11,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-11.png,Sonnwendlig Alkoholfrei wird von Brauerei Locher produziert und von Intercomestibles geliefert. Es kommt aus Appenzell (AI) und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,24,,,,,,,,24,,,,,,24,,,,,,,,,72,37,37,10,yes,22,26,50,-24,-44.20
D11,,Lola IPA Alkoholfrei,01-Vorderer Teil,Getränke,Lola Cola,Intercomestibles,Lola Cola,www.lolacola.ch/,33 cl,Costa Rica,"Schwarzwald, dann Bern",keine,,Intercomestibles ,Mwst. reduzierter Satz,2.65,,2.92,3.49,3.49,3.60,-0.11,,19.6.2031,D11 Lola IPA Alkoholfrei,visible,quartier-produkt-12,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-12.png,"Lola IPA Alkoholfrei wird von Lola Cola produziert und von Intercomestibles geliefert. Es kommt aus Schwarzwald, dann Bern und trägt keine Zertifizierung",,,,,,,,,,,,,,,,,24,,,,,,,,24,,,,,,24,,,,,,,,,72,30,30,10,yes,17,27,55,-28,-97.66
D12,,Vivi Kola,01-Vorderer Teil,Getränke,Vivi Kola,Intercomestibles,Vivi Kola,www.vivikola.ch/,33cl,Schweiz,"Eglisau, Zürich",Fairtrade versprechen,42140,Intercomestibles 42140,Mwst. reduzierter Satz,1.50,,1.65,2.19,2.19,2.20,-0.01,,19.6.2032,D12 Vivi Kola,visible,quartier-produkt-13,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-13.png,"Vivi Kola wird von Vivi Kola produziert und von Intercomestibles geliefert. Es kommt aus Eglisau, Zürich und trägt Fairtrade versprechen Zertifizierung",,,,,,,,24,,,,,,,,,48,,,,,,,,,,24,,,,,,,,,,,,,96,33,33,10,yes,53,62,43,19,41.63
D13,,Zobo Sorell,01-Vorderer Teil,Getränke,Zobo Sorell,Intercomestibles,Zobo,www.zobo-getraenke.ch,27.5cl,Schweiz,Feldmeilen,CH-Bio,,Intercomestibles ,Mwst. reduzierter Satz,1.98,,2.18,2.23,2.23,,,,19.6.2033,D13 Zobo Sorell,visible,quartier-produkt-14,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-14.png,Zobo Sorell wird von Zobo produziert und von Intercomestibles geliefert. Es kommt aus Feldmeilen und trägt CH-Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,,40,,39,,,,,,,,,20,,,,99,13,33,10,yes,36,45,63,-18,-40.18
D14,,Phil's Eistee - delist,01-Vorderer Teil,Getränke,Phil's Eistee,Sinan,Phil,www.eis-tee.ch/,,Schweiz,Zürich,Bio,,Sinan ,Mwst. reduzierter Satz,,,,,0.50,,,,19.6.2034,D14 Phil's Eistee - delist,visible,quartier-produkt-15,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-15.png,Phil's Eistee - delist wird von Phil produziert und von Sinan geliefert. Es kommt aus Zürich und trägt Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,72,0,0,10,yes,61,0,11,-11,-5.50
D15,,Ginger Beer,01-Vorderer Teil,Getränke,Swiss Mountain Spring Ginger Beer,Intercomestibles,Swiss Mountain Spring,www.swissmountainspring.ch,2 dl,Schweiz,Schweiz,keine,3528,Intercomestibles 3528,Mwst. reduzierter Satz,1.50,,1.65,1.69,1.69,,,,19.6.2035,D15 Ginger Beer,visible,quartier-produkt-16,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-16.png,Ginger Beer wird von Swiss Mountain Spring produziert und von Intercomestibles geliefert. Es kommt aus Schweiz und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,24,13,13,10,yes,,,,,
D16,,Aqua Monaco Tonic,01-Vorderer Teil,Getränke,Aqua Monaco Tonic,Intercomestibles,Aqua Monaco,www.aquamonaco.com,2.3 dl,Deutschland,Deutschland,keine,7086,Intercomestibles 7086,Mwst. reduzierter Satz,1.58,,1.74,1.78,1.78,,,,19.6.2036,D16 Aqua Monaco Tonic,visible,quartier-produkt-17,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-17.png,Aqua Monaco Tonic wird von Aqua Monaco produziert und von Intercomestibles geliefert. Es kommt aus Deutschland und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,,,,,,,,,48,17,17,10,yes,,,,,
D20,,Bier Paul 01,01-Vorderer Teil,Bier,Bier Paul 01,Intercomestibles,Bier Paul,www.bierpaul.ch/,3.3 dl,Schweiz,Zürich Wiedikon,keine,,Intercomestibles ,Standard,1.36,,1.50,2.11,2.11,2.11,0.00,,19.6.2037,D20 Bier Paul 01,visible,quartier-produkt-18,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-18.png,Bier Paul 01 wird von Bier Paul produziert und von Intercomestibles geliefert. Es kommt aus Zürich Wiedikon und trägt keine Zertifizierung,,,,2.90,-0.79,73%,,,20,,,,,,,,40,,,40,,60,,,40,,,,,,40,,,,,60,,,,300,3,63,10,yes,190,25,110,-85,-179.45
D21,,Oerliker Bier,01-Vorderer Teil,Bier,Oerliker Bier,Brauerei Oerlikon,Brauerei Oerlikon,www.brauerei-oerlikon.ch/,3.3 dl,Schweiz,Zürich Oerlikon,keine,,Brauerei Oerlikon ,Standard,2.72,,2.99,3.72,3.72,3.80,-0.08,,19.6.2038,D21 Oerliker Bier,visible,quartier-produkt-19,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-19.png,Oerliker Bier wird von Brauerei Oerlikon produziert und von Brauerei Oerlikon geliefert. Es kommt aus Zürich Oerlikon und trägt keine Zertifizierung,2.24,1.48,166%,,,,,,,31,,,,,,,,,24,48,,24,,,,,,,,,,,24,,,,,,,151,11,11,10,yes,88,35,63,-28,-104.16
